Source,Target,source_ideology,target_ideology
8561,10007,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10007,10008,White Supremacist/Xenophobic,White Supremacist/Xenophobic
8561,10008,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10007,10009,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10008,10009,White Supremacist/Xenophobic,White Supremacist/Xenophobic
8561,10009,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10007,10010,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10008,10010,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10009,10010,White Supremacist/Xenophobic,White Supremacist/Xenophobic
8561,10010,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10007,10011,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10008,10011,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10009,10011,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10010,10011,White Supremacist/Xenophobic,White Supremacist/Xenophobic
8561,10011,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10007,10012,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10008,10012,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10009,10012,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10010,10012,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10011,10012,White Supremacist/Xenophobic,White Supremacist/Xenophobic
8561,10012,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10007,10013,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10008,10013,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10009,10013,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10010,10013,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10011,10013,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10012,10013,White Supremacist/Xenophobic,White Supremacist/Xenophobic
8561,10013,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10007,10014,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10008,10014,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10009,10014,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10010,10014,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10011,10014,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10012,10014,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10013,10014,White Supremacist/Xenophobic,White Supremacist/Xenophobic
8561,10014,White Supremacist/Xenophobic,White Supremacist/Xenophobic
10025,10026,Anarchist/Anti-Capitalist,Anarchist/Anti-Capitalist
10038,10040,Conspiracy Theory,Conspiracy Theory
10159,10046,Conspiracy Theory,Conspiracy Theory
10060,10047,Militia/Sovereign Citizen/Anti-Government,Militia/Sovereign Citizen/Anti-Government
